Year,Station,Date,Temperature,TowVolume,DScatch,CPUE,TowNumber,WYIndex,Yrtype,NDOImonthly,PresenceAbsence,Salinity
2002,609,8/1/2002,20.29999924,735,0,0,3,6.35,Dry,3848.580645,0,6.284518807
2002,609,8/1/2002,20.29999924,735,0,0,1,6.35,Dry,3848.580645,0,6.284518807
2002,610,8/1/2002,20.20000076,735,0,0,3,6.35,Dry,3848.580645,0,4.055461876
2002,610,8/1/2002,20.20000076,735,0,0,1,6.35,Dry,3848.580645,0,4.055461876
2002,606,8/1/2002,20.89999962,735,0,0,1,6.35,Dry,3848.580645,0,8.353646545
2002,609,8/1/2002,20.29999924,735,0,0,2,6.35,Dry,3848.580645,0,6.284518807
2002,606,8/1/2002,20.89999962,735,0,0,3,6.35,Dry,3848.580645,0,8.353646545
2002,610,8/1/2002,20.20000076,735,0,0,2,6.35,Dry,3848.580645,0,4.055461876
2002,606,8/1/2002,20.89999962,735,0,0,2,6.35,Dry,3848.580645,0,8.353646545
2003,609,8/6/2003,21.5,905,0,0,3,8.21,Above Normal,6928.225806,0,2.599013007
2003,606,8/7/2003,21.70000076,902,0,0,3,8.21,Above Normal,6928.225806,0,4.026006727
2003,610,8/6/2003,21,694,1,0.001440922,3,8.21,Above Normal,6928.225806,1,0.750812943
2003,610,8/6/2003,21,819,0,0,1,8.21,Above Normal,6928.225806,0,0.750812943
2003,610,8/6/2003,21,1092,1,0.000915751,2,8.21,Above Normal,6928.225806,1,0.750812943
2003,606,8/21/2003,21.5,967,0,0,2,8.21,Above Normal,6928.225806,0,3.586306957
2003,609,8/20/2003,22.29999924,955,0,0,2,8.21,Above Normal,6928.225806,0,3.000898606
2003,606,8/21/2003,21.5,1046,0,0,3,8.21,Above Normal,6928.225806,0,3.586306957
2003,609,8/6/2003,21.5,881,0,0,1,8.21,Above Normal,6928.225806,0,2.599013007
2003,606,8/7/2003,21.70000076,969,0,0,1,8.21,Above Normal,6928.225806,0,4.026006727
2003,606,8/21/2003,21.5,951,0,0,1,8.21,Above Normal,6928.225806,0,3.586306957
2003,609,8/6/2003,21.5,894,0,0,2,8.21,Above Normal,6928.225806,0,2.599013007
2003,610,8/20/2003,21.20000076,894,0,0,3,8.21,Above Normal,6928.225806,0,1.916620727
2003,606,8/7/2003,21.70000076,869,0,0,2,8.21,Above Normal,6928.225806,0,4.026006727
2003,609,8/20/2003,22.29999924,926,0,0,1,8.21,Above Normal,6928.225806,0,3.000898606
2003,610,8/20/2003,21.20000076,892,0,0,1,8.21,Above Normal,6928.225806,0,1.916620727
2003,610,8/20/2003,21.20000076,846,1,0.001182033,2,8.21,Above Normal,6928.225806,1,1.916620727
2003,609,8/20/2003,22.29999924,971,0,0,3,8.21,Above Normal,6928.225806,0,3.000898606
2004,610,8/26/2004,20.60000038,678,0,0,2,7.51,BeloWet Normal,5252.516129,0,4.339096853
2004,606,8/26/2004,22.10000038,597,0,0,1,7.51,BeloWet Normal,5252.516129,0,6.107450924
2004,606,8/26/2004,22.10000038,645,0,0,2,7.51,BeloWet Normal,5252.516129,0,6.107450924
2004,610,8/12/2004,21.29999924,717,0,0,1,7.51,BeloWet Normal,5252.516129,0,3.272310368
2004,609,8/26/2004,21.20000076,707,0,0,3,7.51,BeloWet Normal,5252.516129,0,4.743501357
2004,606,8/12/2004,22.29999924,766,0,0,2,7.51,BeloWet Normal,5252.516129,0,5.421824121
2004,609,8/26/2004,21.20000076,696,0,0,1,7.51,BeloWet Normal,5252.516129,0,4.743501357
